Local time,Open,High,Low,Close,Volume
24.03.2025 00:00:00.000 GMT+0100,1.08197,1.08207,1.08196,1.08201,94.83
24.03.2025 00:01:00.000 GMT+0100,1.08202,1.08213,1.08195,1.08211,57.66
24.03.2025 00:02:00.000 GMT+0100,1.08212,1.08212,1.08197,1.08204,25.83
24.03.2025 00:03:00.000 GMT+0100,1.08205,1.08210,1.08202,1.08207,21.45
24.03.2025 00:04:00.000 GMT+0100,1.08206,1.08208,1.08202,1.08202,21.69
24.03.2025 00:05:00.000 GMT+0100,1.08205,1.08218,1.08202,1.08217,25.38
24.03.2025 00:06:00.000 GMT+0100,1.08218,1.08218,1.08200,1.08201,21.99
24.03.2025 00:07:00.000 GMT+0100,1.08199,1.08201,1.08186,1.08199,33.84
24.03.2025 00:08:00.000 GMT+0100,1.08198,1.08203,1.08198,1.08201,6.18
24.03.2025 00:09:00.000 GMT+0100,1.08200,1.08203,1.08196,1.08201,18.93
24.03.2025 00:10:00.000 GMT+0100,1.08202,1.08217,1.08201,1.08216,47.91
24.03.2025 00:11:00.000 GMT+0100,1.08217,1.08231,1.08216,1.08231,24.63
24.03.2025 00:12:00.000 GMT+0100,1.08231,1.08234,1.08231,1.08233,11.91
24.03.2025 00:13:00.000 GMT+0100,1.08233,1.08242,1.08232,1.08241,10.23
24.03.2025 00:14:00.000 GMT+0100,1.08240,1.08242,1.08240,1.08241,12.69
24.03.2025 00:15:00.000 GMT+0100,1.08239,1.08240,1.08232,1.08233,16.17
24.03.2025 00:16:00.000 GMT+0100,1.08234,1.08239,1.08234,1.08235,24.51
24.03.2025 00:17:00.000 GMT+0100,1.08236,1.08243,1.08234,1.08243,11.16
24.03.2025 00:18:00.000 GMT+0100,1.08242,1.08242,1.08225,1.08227,36.72
24.03.2025 00:19:00.000 GMT+0100,1.08228,1.08237,1.08220,1.08222,18.15
24.03.2025 00:20:00.000 GMT+0100,1.08221,1.08226,1.08218,1.08226,25.2
24.03.2025 00:21:00.000 GMT+0100,1.08225,1.08226,1.08224,1.08225,8.1
24.03.2025 00:22:00.000 GMT+0100,1.08227,1.08230,1.08222,1.08230,25.2
24.03.2025 00:23:00.000 GMT+0100,1.08229,1.08232,1.08228,1.08232,18.9
24.03.2025 00:24:00.000 GMT+0100,1.08231,1.08232,1.08230,1.08231,5.85
24.03.2025 00:25:00.000 GMT+0100,1.08231,1.08236,1.08229,1.08236,9
24.03.2025 00:26:00.000 GMT+0100,1.08239,1.08242,1.08239,1.08242,6.3
24.03.2025 00:27:00.000 GMT+0100,1.08242,1.08247,1.08240,1.08242,39.6
24.03.2025 00:28:00.000 GMT+0100,1.08244,1.08244,1.08241,1.08241,13.5
24.03.2025 00:29:00.000 GMT+0100,1.08242,1.08242,1.08237,1.08240,19.8
24.03.2025 00:30:00.000 GMT+0100,1.08240,1.08240,1.08231,1.08238,36.18
24.03.2025 00:31:00.000 GMT+0100,1.08239,1.08243,1.08236,1.08238,23.49
24.03.2025 00:32:00.000 GMT+0100,1.08237,1.08248,1.08237,1.08248,19.17
24.03.2025 00:33:00.000 GMT+0100,1.08247,1.08257,1.08247,1.08252,35.55
24.03.2025 00:34:00.000 GMT+0100,1.08251,1.08251,1.08249,1.08249,18.9
24.03.2025 00:35:00.000 GMT+0100,1.08249,1.08250,1.08248,1.08250,11.7
24.03.2025 00:36:00.000 GMT+0100,1.08250,1.08263,1.08250,1.08260,27.99
24.03.2025 00:37:00.000 GMT+0100,1.08262,1.08263,1.08256,1.08262,24.75
24.03.2025 00:38:00.000 GMT+0100,1.08259,1.08262,1.08257,1.08258,22.05
24.03.2025 00:39:00.000 GMT+0100,1.08258,1.08258,1.08254,1.08256,17.1
24.03.2025 00:40:00.000 GMT+0100,1.08258,1.08263,1.08258,1.08261,1.98
24.03.2025 00:41:00.000 GMT+0100,1.08261,1.08261,1.08260,1.08261,7.2
24.03.2025 00:42:00.000 GMT+0100,1.08262,1.08277,1.08260,1.08276,40.47
24.03.2025 00:43:00.000 GMT+0100,1.08276,1.08287,1.08275,1.08286,53.46
24.03.2025 00:44:00.000 GMT+0100,1.08286,1.08291,1.08280,1.08290,21.9
24.03.2025 00:45:00.000 GMT+0100,1.08289,1.08302,1.08281,1.08301,24.6
24.03.2025 00:46:00.000 GMT+0100,1.08299,1.08301,1.08297,1.08297,35.49
24.03.2025 00:47:00.000 GMT+0100,1.08301,1.08301,1.08295,1.08300,27.09
24.03.2025 00:48:00.000 GMT+0100,1.08301,1.08318,1.08297,1.08316,46.77
24.03.2025 00:49:00.000 GMT+0100,1.08318,1.08324,1.08311,1.08314,99.33
24.03.2025 00:50:00.000 GMT+0100,1.08314,1.08315,1.08300,1.08311,96.49
24.03.2025 00:51:00.000 GMT+0100,1.08313,1.08335,1.08311,1.08328,125.23
24.03.2025 00:52:00.000 GMT+0100,1.08330,1.08337,1.08328,1.08335,60.73
24.03.2025 00:53:00.000 GMT+0100,1.08335,1.08336,1.08329,1.08332,56.7
24.03.2025 00:54:00.000 GMT+0100,1.08330,1.08358,1.08329,1.08352,66.44
24.03.2025 00:55:00.000 GMT+0100,1.08352,1.08367,1.08347,1.08350,99.3
24.03.2025 00:56:00.000 GMT+0100,1.08349,1.08350,1.08348,1.08348,30.42
24.03.2025 00:57:00.000 GMT+0100,1.08350,1.08358,1.08347,1.08348,55.92
24.03.2025 00:58:00.000 GMT+0100,1.08347,1.08363,1.08347,1.08363,111.99
24.03.2025 00:59:00.000 GMT+0100,1.08362,1.08362,1.08358,1.08358,83.01
24.03.2025 01:00:00.000 GMT+0100,1.08358,1.08358,1.08338,1.08340,116.9
24.03.2025 01:01:00.000 GMT+0100,1.08342,1.08348,1.08337,1.08348,157.9
24.03.2025 01:02:00.000 GMT+0100,1.08350,1.08350,1.08340,1.08340,293.25
24.03.2025 01:03:00.000 GMT+0100,1.08338,1.08346,1.08324,1.08345,110.28
24.03.2025 01:04:00.000 GMT+0100,1.08346,1.08367,1.08341,1.08360,134.64
24.03.2025 01:05:00.000 GMT+0100,1.08360,1.08368,1.08358,1.08367,67.11
24.03.2025 01:06:00.000 GMT+0100,1.08366,1.08371,1.08356,1.08359,75.24
24.03.2025 01:07:00.000 GMT+0100,1.08359,1.08360,1.08355,1.08359,184.49
24.03.2025 01:08:00.000 GMT+0100,1.08359,1.08362,1.08359,1.08359,7.65
24.03.2025 01:09:00.000 GMT+0100,1.08360,1.08373,1.08360,1.08368,27.75
24.03.2025 01:10:00.000 GMT+0100,1.08367,1.08367,1.08359,1.08364,54
24.03.2025 01:11:00.000 GMT+0100,1.08362,1.08376,1.08362,1.08366,49.05
24.03.2025 01:12:00.000 GMT+0100,1.08367,1.08373,1.08361,1.08372,153.99
24.03.2025 01:13:00.000 GMT+0100,1.08369,1.08377,1.08365,1.08365,69.75
24.03.2025 01:14:00.000 GMT+0100,1.08367,1.08387,1.08365,1.08386,41.67
24.03.2025 01:15:00.000 GMT+0100,1.08386,1.08394,1.08381,1.08394,65.1
24.03.2025 01:16:00.000 GMT+0100,1.08394,1.08395,1.08385,1.08386,33.42
24.03.2025 01:17:00.000 GMT+0100,1.08389,1.08394,1.08387,1.08391,24.72
24.03.2025 01:18:00.000 GMT+0100,1.08393,1.08398,1.08392,1.08395,30.33
24.03.2025 01:19:00.000 GMT+0100,1.08394,1.08395,1.08381,1.08393,59.91
24.03.2025 01:20:00.000 GMT+0100,1.08394,1.08397,1.08390,1.08395,24.09
24.03.2025 01:21:00.000 GMT+0100,1.08394,1.08394,1.08387,1.08390,35.76
24.03.2025 01:22:00.000 GMT+0100,1.08391,1.08394,1.08389,1.08393,17.16
24.03.2025 01:23:00.000 GMT+0100,1.08393,1.08394,1.08391,1.08393,19.62
24.03.2025 01:24:00.000 GMT+0100,1.08393,1.08395,1.08387,1.08389,33.78
24.03.2025 01:25:00.000 GMT+0100,1.08391,1.08393,1.08389,1.08389,12.21
24.03.2025 01:26:00.000 GMT+0100,1.08392,1.08396,1.08390,1.08391,18.72
24.03.2025 01:27:00.000 GMT+0100,1.08393,1.08397,1.08392,1.08397,1.8
24.03.2025 01:28:00.000 GMT+0100,1.08396,1.08398,1.08392,1.08397,17.46
24.03.2025 01:29:00.000 GMT+0100,1.08396,1.08397,1.08381,1.08382,66.69
24.03.2025 01:30:00.000 GMT+0100,1.08382,1.08383,1.08357,1.08361,233.59
24.03.2025 01:31:00.000 GMT+0100,1.08360,1.08362,1.08349,1.08360,245.79
24.03.2025 01:32:00.000 GMT+0100,1.08361,1.08361,1.08335,1.08347,153.9
24.03.2025 01:33:00.000 GMT+0100,1.08347,1.08357,1.08340,1.08356,150.66
24.03.2025 01:34:00.000 GMT+0100,1.08356,1.08357,1.08348,1.08352,145.86
24.03.2025 01:35:00.000 GMT+0100,1.08352,1.08352,1.08349,1.08352,19.8
24.03.2025 01:36:00.000 GMT+0100,1.08352,1.08367,1.08350,1.08364,34.02
24.03.2025 01:37:00.000 GMT+0100,1.08365,1.08369,1.08362,1.08364,116.88
24.03.2025 01:38:00.000 GMT+0100,1.08364,1.08368,1.08361,1.08366,165.84
24.03.2025 01:39:00.000 GMT+0100,1.08366,1.08370,1.08363,1.08363,39.15
24.03.2025 01:40:00.000 GMT+0100,1.08366,1.08369,1.08363,1.08367,35.55
24.03.2025 01:41:00.000 GMT+0100,1.08368,1.08368,1.08348,1.08349,96.75
24.03.2025 01:42:00.000 GMT+0100,1.08349,1.08349,1.08341,1.08348,214.71
24.03.2025 01:43:00.000 GMT+0100,1.08348,1.08351,1.08348,1.08348,46.08
24.03.2025 01:44:00.000 GMT+0100,1.08348,1.08351,1.08344,1.08350,79.2
24.03.2025 01:45:00.000 GMT+0100,1.08350,1.08357,1.08349,1.08351,45.45
24.03.2025 01:46:00.000 GMT+0100,1.08351,1.08357,1.08349,1.08352,176.76
24.03.2025 01:47:00.000 GMT+0100,1.08355,1.08357,1.08351,1.08352,57.03
24.03.2025 01:48:00.000 GMT+0100,1.08353,1.08356,1.08347,1.08349,512.94
24.03.2025 01:49:00.000 GMT+0100,1.08348,1.08353,1.08348,1.08351,34.74
24.03.2025 01:50:00.000 GMT+0100,1.08352,1.08361,1.08348,1.08348,376.95
24.03.2025 01:51:00.000 GMT+0100,1.08348,1.08356,1.08329,1.08350,258.39
24.03.2025 01:52:00.000 GMT+0100,1.08349,1.08353,1.08347,1.08349,44.47
24.03.2025 01:53:00.000 GMT+0100,1.08348,1.08349,1.08347,1.08348,31.95
24.03.2025 01:54:00.000 GMT+0100,1.08351,1.08352,1.08342,1.08349,251.38
24.03.2025 01:55:00.000 GMT+0100,1.08351,1.08353,1.08333,1.08350,159.04
24.03.2025 01:56:00.000 GMT+0100,1.08348,1.08361,1.08345,1.08356,48.96
24.03.2025 01:57:00.000 GMT+0100,1.08356,1.08362,1.08349,1.08361,50.37
24.03.2025 01:58:00.000 GMT+0100,1.08361,1.08374,1.08361,1.08369,50.04
24.03.2025 01:59:00.000 GMT+0100,1.08369,1.08373,1.08367,1.08370,161.86
